Song_Name,Artists,YouTube_Link,ViewCount,Release
Hound Dog,Elvis Presley,https://www.youtube.com/watch?v=-eHJ12Vhpyc,40875640,1958.0
Enter Sandman (Remastered),Metallica,https://www.youtube.com/watch?v=CD-E-LDc384,757748887,1991.0
I Want To Hold Your Hand - Remastered 2015,The Beatles,https://www.youtube.com/watch?v=v1HDt1tknTc,42963744,2000.0
Listen to the Music,The Doobie Brothers,https://www.youtube.com/watch?v=DkytJLoxGmQ,44284430,1972.0
Bridge Over Troubled Water,Simon & Garfunkel,https://www.youtube.com/watch?v=4G-YQA_bsOU,45728714,1970.0
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,https://www.youtube.com/watch?v=bn8QPRYWAdk,93474454,1998.0
All I Have to Do Is Dream,The Everly Brothers,https://www.youtube.com/watch?v=tbU3zdAgiX8,49142119,1964.0
"December, 1963 (Oh What a Night!)",The Four Seasons,https://www.youtube.com/watch?v=mTUhnIY3oRM,49261592,2003.0
Ain't No Sunshine,Bill Withers,https://www.youtube.com/watch?v=Nuanwn3v-2I,52346079,1971.0
Go Your Own Way - 2004 Remaster,Fleetwood Mac,https://www.youtube.com/watch?v=p8Ojjn35kP8,52736471,1977.0
Superstition - Single Version,Stevie Wonder,https://www.youtube.com/watch?v=0CFuCYNx-1g,176020648,2002.0
"Party On My Mind (From ""Race 2"")","KK, Shefali Alvares, Yo Yo Honey Singh, Pritam",https://www.youtube.com/watch?v=UJpjx0ssWHE,68488640,2014.0
The Lion Sleeps Tonight (Wimoweh),The Tokens,https://www.youtube.com/watch?v=OQlByoPdG6c,57606474,1994.0
Like a Rolling Stone,Bob Dylan,https://www.youtube.com/watch?v=IwOfCgkyEj0,58603984,1965.0
A Whiter Shade of Pale - Original Single Version,Procol Harum,https://www.youtube.com/watch?v=z0vCwGUZe1I,58872178,2019.0
American Pie,Don McLean,https://www.youtube.com/watch?v=PRpiBpDy7MQ,60561425,1971.0
Uff Teri Adaa,"Shankar Mahadevan, Alyssa Mendonsa",https://www.youtube.com/watch?v=-rSOvmWRG4Y,61017282,2010.0
Jee Le Zaraa,"Vishal Dadlani, Ram Sampath, Javed Akhtar",https://www.youtube.com/watch?v=fhs6wYi4Jr0,62101711,2012.0
"Raat Bhar (From ""Heropanti"")","Arijit Singh, Shreya Ghoshal",https://www.youtube.com/watch?v=AYcxiROIktI,113388963,2019.0
Hit the Road Jack (Remastered),Ray Charles,https://www.youtube.com/watch?v=uSiHqxgE2d0,65029071,2011.0
Muskurane - Romantic,"Jeet Gannguli, Arijit Singh, Rashmi Virag",https://www.youtube.com/watch?v=HQ4Ox7mLqds,66350165,2014.0
Senorita,"Farhan Akhtar, Hrithik Roshan, Abhay Deol, Maria Del Mar Fernandez",https://www.youtube.com/watch?v=yDv0WSgXJVg,145440088,2011.0
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,https://www.youtube.com/watch?v=krYK1jWz0Lo,68921435,1979.0
Stairway to Heaven - Remaster,Led Zeppelin,https://www.youtube.com/watch?v=QkF3oxziUI4,160043933,1971.0
Gulabi,"Sachin-Jigar, Jigar Saraiya, Priya Saraiya, Jaideep Sahni",https://www.youtube.com/watch?v=E4ZJxhyAaH8,73443363,2013.0
How You Remind Me,Nickelback,https://www.youtube.com/watch?v=1cQh1ccqu8M,591836642,2001.0
"Pani Da Rang Male (From ""Vicky Donor"")",Ayushmann Khurrana,https://www.youtube.com/watch?v=2kgEc6oH9J0,97860106,2012.0
Te Amo (Duet),"Pritam, Ash King, Sunidhi Chauhan",https://www.youtube.com/watch?v=3N3n23loy24,81814189,2011.0
I Want You Back,The Jackson 5,https://www.youtube.com/watch?v=y2bVIBwpCTA,83574243,1969.0
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",https://www.youtube.com/watch?v=ABfQuZqq8wg,83423188,1967.0
Bahara,"Vishal-Shekhar, Shreya Ghoshal, Sona Mohapatra",https://www.youtube.com/watch?v=_VOXxKDNCuM,83430238,2010.0
Free Bird,Lynyrd Skynyrd,https://www.youtube.com/watch?v=MQNRKX8GwPo,13726536,1973.0
