ID,Song,Artist,Year,Weeks_in_Charts,Rank,YouTube_Link,ViewCount,Genre
0049,Hero,Mariah Carey,1993,30,1,https://www.youtube.com/watch?v=0IA3ZvCkRkQ,448000000.0,Pop
0050,I Swear,All-4-One,1994,30,1,https://www.youtube.com/watch?v=25rL-ooWICU,105000000.0,R&B
0051,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,1997,30,1,https://www.youtube.com/watch?v=gUhRKVIjJtw,129000000.0,Hip-Hop
0052,Take A Bow,Madonna,1994,30,1,https://www.youtube.com/watch?v=XDeiovnCv1o,66000000.0,Pop
0053,"Can't Help Falling In Love (From ""Sliver"")",UB40,1993,29,1,https://www.youtube.com/watch?v=vUdloUqZa7w,96000000.0,R&B
0054,Dreamlover,Mariah Carey,1993,29,1,https://www.youtube.com/watch?v=CqBtS6BIP1E,55000000.0,Pop
0055,I Will Always Love You,Whitney Houston,1992,29,1,https://www.youtube.com/watch?v=3JWTaaS7LdU,1922000000.0,R&B
0056,This Is How We Do It,Montell Jordan,1995,29,1,https://www.youtube.com/watch?v=0hiUuL5uTKc,213000000.0,R&B
0057,Total Eclipse Of The Heart,Bonnie Tyler,1983,29,1,https://www.youtube.com/watch?v=lcOxhH8N3Bo,1355000000.0,Pop
0058,Baby Got Back,Sir Mix-A-Lot,1992,28,1,https://www.youtube.com/watch?v=X53ZSxkQ3Ho,105000000.0,Hip-Hop
0059,Don't You Want Me,The Human League,1982,28,1,https://www.youtube.com/watch?v=uPudE8nDog0,254000000.0,Rock
0060,Here I Go Again,Whitesnake,1987,28,1,https://www.youtube.com/watch?v=WyF8RHM1OCg,155000000.0,Rock
0061,Keep On Loving You,REO Speedwagon,1980,28,1,https://www.youtube.com/watch?v=wJzNZ1c5C9c,91000000.0,Rock
0062,No Scrubs,TLC,1999,28,1,https://www.youtube.com/watch?v=FrLequ6dUdM,525000000.0,R&B
0063,What's Love Got To Do With It,Tina Turner,1984,28,1,https://www.youtube.com/watch?v=oGpFcHTxjZs,366000000.0,R&B
0064,Endless Love,Diana Ross & Lionel Richie,1981,27,1,https://www.youtube.com/watch?v=bAqz0AwLRjk,102000000.0,R&B
0065,On Bended Knee,Boyz II Men,1994,27,1,https://www.youtube.com/watch?v=DnU5ryajwQY,236000000.0,R&B
0066,One Sweet Day,Mariah Carey & Boyz II Men,1995,27,1,https://www.youtube.com/watch?v=UXxRyNvTPr8,393000000.0,R&B
0067,Save The Best For Last,Vanessa Williams,1992,27,1,https://www.youtube.com/watch?v=5EdmHSTwmWY,110000000.0,Pop
0068,Take On Me,a-ha,1985,27,1,https://www.youtube.com/watch?v=djV11Xbc914,2442000000.0,Pop
0069,The Boy Is Mine,Brandy & Monica,1998,27,1,https://www.youtube.com/watch?v=qSIOp_K5GMw,223000000.0,R&B
0070,The Flame,Cheap Trick,1988,27,1,https://www.youtube.com/watch?v=0IMSiZKIdLo,62000000.0,Rock
0071,Who Can It Be Now?,Men At Work,1982,27,1,https://www.youtube.com/watch?v=SECVGN4Bsgg,262000000.0,Pop
0072,9 To 5,Dolly Parton,1980,26,1,https://www.youtube.com/watch?v=UbxUSsFXYo4,103000000.0,Pop
0073,Bette Davis Eyes,Kim Carnes,1981,26,1,https://www.youtube.com/watch?v=EPOIS5taqA8,339000000.0,Pop
0074,Caribbean Queen (No More Love On The Run),Billy Ocean,1984,26,1,https://www.youtube.com/watch?v=uxX2gA18grk,209000000.0,R&B
